symbol,Scientific Name,Common Name,Duration,Growth_Habit
ROCUC,Rorippa curvipes var. curvipes,bluntleaf yellowcress,"Annual, Perennial",Forb/herb
ROCUT,Rorippa curvipes var. truncata,bluntleaf yellowcress,"Annual, Perennial",Forb/herb
SEPU3,Senecio pudicus,bashful ragwort,"Annual, Perennial",Forb/herb
SEVE2,Sesuvium verrucosum,verrucose seapurslane,"Annual, Perennial",Forb/herb
SOAM,Solanum americanum,American black nightshade,"Annual, Perennial","Subshrub, Forb/herb"
SPMA10,Spergularia maritima,media sandspurry,"Annual, Perennial",Forb/herb
SPRU,Spergularia rubra,red sandspurry,"Annual, Perennial",Forb/herb
SPOB,Sphenopholis obtusata,prairie wedgescale,"Annual, Perennial",Graminoid
SPPY2,Sporobolus pyramidatus,Madagascar dropseed,"Annual, Perennial",Graminoid
STCA,Stellaria calycantha,northern starwort,"Annual, Perennial",Forb/herb
STME2,Stellaria media,common chickweed,"Annual, Perennial",Forb/herb
STMEM,Stellaria media ssp. media,common chickweed,"Annual, Perennial",Forb/herb
SUCA2,Suaeda calceoliformis,Pursh seepweed,"Annual, Perennial","Subshrub, Forb/herb"
THFI,Thelesperma filifolium,stiff greenthread,"Annual, Perennial",Forb/herb
THFII,Thelesperma filifolium var. intermedium,stiff greenthread,"Annual, Perennial",Forb/herb
TRPO2,Trianthema portulacastrum,desert horsepurslane,"Annual, Perennial",Forb/herb
TRHY,Trifolium hybridum,alsike clover,"Annual, Perennial",Forb/herb
TRWO,Trifolium wormskioldii,cows clover,"Annual, Perennial",Forb/herb
TRIN5,Trisetum interruptum,prairie false oat,"Annual, Perennial",Graminoid
VEST,Verbena stricta,hoary verbena,"Annual, Perennial",Forb/herb
VINE,Viola nephrophylla,northern bog violet,"Annual, Perennial",Forb/herb
ARLA,Arabis laevigata,smooth rockcress,Biennial,Forb/herb
ARLAL,Arabis laevigata var. laevigata,smooth rockcress,Biennial,Forb/herb
ARLA3,Arctium lappa,greater burdock,Biennial,Forb/herb
ARMI2,Arctium minus,lesser burdock,Biennial,Forb/herb
ARTO,Arctium tomentosum,woolly burdock,Biennial,Forb/herb
BAVU,Barbarea vulgaris,garden yellowrocket,Biennial,Forb/herb
CAAC,Carduus acanthoides,spiny plumeless thistle,Biennial,Forb/herb
CICA11,Cirsium canescens,prairie thistle,Biennial,Forb/herb
CISC3,Cirsium scopulorum,mountain thistle,Biennial,Forb/herb
CIVU,Cirsium vulgare,bull thistle,Biennial,Forb/herb
COMA2,Conium maculatum,poison hemlock,Biennial,Forb/herb
CYOF,Cynoglossum officinale,gypsyflower,Biennial,Forb/herb
DACA6,Daucus carota,Queen Anne's lace,Biennial,Forb/herb
DEINI2,Descurainia incana ssp. incisa,mountain tansymustard,Biennial,Forb/herb
DEINP,Descurainia incana ssp. procera,mountain tansymustard,Biennial,Forb/herb
DEINV,Descurainia incana ssp. viscosa,mountain tansymustard,Biennial,Forb/herb
DIPU,Digitalis purpurea,purple foxglove,Biennial,Forb/herb
DIPUP2,Digitalis purpurea ssp. purpurea,purple foxglove,Biennial,Forb/herb
DIFU2,Dipsacus fullonum,Fuller's teasel,Biennial,Forb/herb
DILA4,Dipsacus laciniatus,cutleaf teasel,Biennial,Forb/herb
ERCO28,Erigeron colomexicanus,running fleabane,Biennial,Forb/herb
ERDI4,Erigeron divergens,spreading fleabane,Biennial,Forb/herb
ERFL,Erigeron flagellaris,trailing fleabane,Biennial,Forb/herb
GLFL,Glaucium flavum,yellow hornpoppy,Biennial,Forb/herb
GRSU,Grindelia subalpina,subalpine gumweed,Biennial,Forb/herb
GRSUE,Grindelia subalpina var. erecta,subalpine gumweed,Biennial,Forb/herb
GRSUS,Grindelia subalpina var. subalpina,subalpine gumweed,Biennial,Forb/herb
HYFL,Hymenopappus flavescens,collegeflower,Biennial,Forb/herb
HYFLF,Hymenopappus flavescens var. flavescens,collegeflower,Biennial,Forb/herb
HYTE2,Hymenopappus tenuifolius,Chalk Hill hymenopappus,Biennial,Forb/herb
MECH,Mentzelia chrysantha,gold blazingstar,Biennial,Forb/herb
MEPU3,Mentzelia pumila,dwarf mentzelia,Biennial,Forb/herb
MEPUP,Mentzelia pumila var. pumila,dwarf mentzelia,Biennial,Forb/herb
ONAC,Onopordum acanthium,Scotch cottonthistle,Biennial,Forb/herb
ONTA,Onopordum tauricum,bull cottonthistle,Biennial,Forb/herb
PHCO19,Phacelia constancei,Constance's phacelia,Biennial,Forb/herb
RELU,Reseda lutea,yellow mignonette,Biennial,Forb/herb
RELU2,Reseda luteola,weld,Biennial,Forb/herb
SAAE,Salvia aethiopis,Mediterranean sage,Biennial,Forb/herb
SASC2,Salvia sclarea,Europe sage,Biennial,Forb/herb
THIN,Thelypodium integrifolium,entireleaved thelypody,Biennial,Forb/herb
THING2,Thelypodium integrifolium ssp. gracilipes,entireleaved thelypody,Biennial,Forb/herb
THINI,Thelypodium integrifolium ssp. integrifolium,entireleaved thelypody,Biennial,Forb/herb
TOGR,Townsendia grandiflora,largeflower Townsend daisy,Biennial,Forb/herb
TRPO,Tragopogon porrifolius,salsify,Biennial,Forb/herb
VEBL,Verbascum blattaria,moth mullein,Biennial,Forb/herb
VEPH,Verbascum phlomoides,orange mullein,Biennial,Forb/herb
VETH,Verbascum thapsus,common mullein,Biennial,Forb/herb
ALRO3,Alcea rosea,hollyhock,"Biennial, Perennial",Forb/herb
ALPE11,Aliciella penstemonoides,Black Canyon gilia,"Biennial, Perennial",Forb/herb
ALSU9,Aliciella subnuda,coral gilia,"Biennial, Perennial",Forb/herb
ANOF,Anchusa officinalis,common bugloss,"Biennial, Perennial",Forb/herb
ARDI2,Arabis ×divaricarpa,spreadingpod rockcress,"Biennial, Perennial",Forb/herb
ARDR,Arabis drummondii,Drummond's rockcress,"Biennial, Perennial",Forb/herb
ARHIH,Arabis hirsuta var. hirsuta,hairy rockcress,"Biennial, Perennial",Forb/herb
ARHO2,Arabis holboellii,Holboell's rockcress,"Biennial, Perennial",Forb/herb
ARHOP2,Arabis holboellii var. pendulocarpa,dropseed rockcress,"Biennial, Perennial",Forb/herb
ARHOP3,Arabis holboellii var. pinetorum,Holboell's rockcress,"Biennial, Perennial",Forb/herb
ARHOR,Arabis holboellii var. retrofracta,second rockcress,"Biennial, Perennial",Forb/herb
ARCA12,Artemisia campestris,field sagewort,"Biennial, Perennial",Forb/herb
ARCAB2,Artemisia campestris ssp. borealis,field sagewort,"Biennial, Perennial",Forb/herb
ARCAB4,Artemisia campestris ssp. borealis var. borealis,field sagewort,"Biennial, Perennial",Forb/herb
ARCAS5,Artemisia campestris ssp. borealis var. scouleriana,field sagewort,"Biennial, Perennial",Forb/herb
ARCAC,Artemisia campestris ssp. caudata,field sagewort,"Biennial, Perennial",Forb/herb
ASLEP,Astragalus lentiginosus var. palans,freckled milkvetch,"Biennial, Perennial",Forb/herb
BAOR,Barbarea orthoceras,American yellowrocket,"Biennial, Perennial",Forb/herb
CANU4,Carduus nutans,nodding plumeless thistle,"Biennial, Perennial",Forb/herb
CACA19,Carum carvi,caraway,"Biennial, Perennial",Forb/herb
CACR11,Caulanthus crassicaulis,thickstem wild cabbage,"Biennial, Perennial",Forb/herb
CACRC,Caulanthus crassicaulis var. crassicaulis,thickstem wild cabbage,"Biennial, Perennial",Forb/herb
CEST8,Centaurea stoebe,spotted knapweed,"Biennial, Perennial",Forb/herb
CESTM,Centaurea stoebe ssp. micranthos,spotted knapweed,"Biennial, Perennial",Forb/herb
CEFO2,Cerastium fontanum,common mouse-ear chickweed,"Biennial, Perennial",Forb/herb
CEFOV2,Cerastium fontanum ssp. vulgare,big chickweed,"Biennial, Perennial",Forb/herb
CHDO,Chaenactis douglasii,Douglas' dustymaiden,"Biennial, Perennial",Forb/herb
CHDOA2,Chaenactis douglasii var. alpina,alpine dustymaiden,"Biennial, Perennial",Forb/herb
CHDOD,Chaenactis douglasii var. douglasii,Douglas' dustymaiden,"Biennial, Perennial",Forb/herb
CHER,Chamaerhodos erecta,little rose,"Biennial, Perennial",Forb/herb
CHERN,Chamaerhodos erecta ssp. nuttallii,Nuttall's little rose,"Biennial, Perennial",Forb/herb
CIIN,Cichorium intybus,chicory,"Biennial, Perennial",Forb/herb
CIMA2,Cicuta maculata,spotted water hemlock,"Biennial, Perennial",Forb/herb
CIMAM,Cicuta maculata var. maculata,spotted water hemlock,"Biennial, Perennial",Forb/herb
CICA10,Cirsium calcareum,Cainville thistle,"Biennial, Perennial",Forb/herb
CIEA,Cirsium eatonii,Eaton's thistle,"Biennial, Perennial",Forb/herb
CINE,Cirsium neomexicanum,New Mexico thistle,"Biennial, Perennial",Forb/herb
CIOC2,Cirsium ochrocentrum,yellowspine thistle,"Biennial, Perennial",Forb/herb
CIOCO2,Cirsium ochrocentrum ssp. ochrocentrum,yellowspine thistle,"Biennial, Perennial",Forb/herb
CIPA,Cirsium parryi,Parry's thistle,"Biennial, Perennial",Forb/herb
CIPAP2,Cirsium parryi ssp. parryi,Parry's thistle,"Biennial, Perennial",Forb/herb
CISC2,Cirsium scariosum,meadow thistle,"Biennial, Perennial",Forb/herb
CIUN,Cirsium undulatum,wavyleaf thistle,"Biennial, Perennial",Forb/herb
CIUNT,Cirsium undulatum var. tracyi,Tracy's thistle,"Biennial, Perennial",Forb/herb
CIUNU,Cirsium undulatum var. undulatum,wavyleaf thistle,"Biennial, Perennial",Forb/herb
CRBA4,Cryptantha bakeri,Baker's cryptantha,"Biennial, Perennial","Subshrub, Forb/herb"
CRCE,Cryptantha celosioides,buttecandle,"Biennial, Perennial",Forb/herb
CREL4,Cryptantha elata,cliffdweller's cryptantha,"Biennial, Perennial","Subshrub, Forb/herb"
CRLO6,Cryptantha longiflora,longflower cryptantha,"Biennial, Perennial","Subshrub, Forb/herb"
CRRO6,Cryptantha rollinsii,Rollins' cryptantha,"Biennial, Perennial","Subshrub, Forb/herb"
CRSE3,Cryptantha sericea,silky cryptantha,"Biennial, Perennial","Subshrub, Forb/herb"
CRTH,Cryptantha thyrsiflora,calcareous cryptantha,"Biennial, Perennial","Subshrub, Forb/herb"
CRVI4,Cryptantha virgata,miner's candle,"Biennial, Perennial",Forb/herb
DRHE,Draba helleriana,Heller's draba,"Biennial, Perennial",Forb/herb
DRHEH,Draba helleriana var. helleriana,Heller's draba,"Biennial, Perennial",Forb/herb
ERAP,Erigeron aphanactis,rayless shaggy fleabane,"Biennial, Perennial",Forb/herb
ERAPA2,Erigeron aphanactis var. aphanactis,rayless shaggy fleabane,"Biennial, Perennial",Forb/herb
ERGL2,Erigeron glabellus,streamside fleabane,"Biennial, Perennial",Forb/herb
ERGLG,Erigeron glabellus var. glabellus,streamside fleabane,"Biennial, Perennial",Forb/herb
ERGLP,Erigeron glabellus var. pubescens,streamside fleabane,"Biennial, Perennial",Forb/herb
ERLO,Erigeron lonchophyllus,shortray fleabane,"Biennial, Perennial",Forb/herb
ERPH,Erigeron philadelphicus,Philadelphia fleabane,"Biennial, Perennial",Forb/herb
ERPHP,Erigeron philadelphicus var. philadelphicus,Philadelphia fleabane,"Biennial, Perennial",Forb/herb
ERAS2,Erysimum asperum,western wallflower,"Biennial, Perennial",Forb/herb
ERCA14,Erysimum capitatum,sanddune wallflower,"Biennial, Perennial","Forb/herb, Subshrub"
ERCAC,Erysimum capitatum var. capitatum,sanddune wallflower,"Biennial, Perennial",Forb/herb
ERCAP3,Erysimum capitatum var. purshii,Pursh's wallflower,"Biennial, Perennial",Forb/herb
ERIN7,Erysimum inconspicuum,shy wallflower,"Biennial, Perennial",Forb/herb
ERINI6,Erysimum inconspicuum var. inconspicuum,shy wallflower,"Biennial, Perennial",Forb/herb
EUMY2,Euphorbia myrsinites,myrtle spurge,"Biennial, Perennial",Forb/herb
HABE3,Hackelia besseyi,Bessey's stickseed,"Biennial, Perennial",Forb/herb
HAFL2,Hackelia floribunda,manyflower stickseed,"Biennial, Perennial",Forb/herb
HAVI3,Halimolobos virgata,rod halimolobos,"Biennial, Perennial",Forb/herb
HEMA3,Hesperis matronalis,dames rocket,"Biennial, Perennial",Forb/herb
IPAG,Ipomopsis aggregata,scarlet gilia,"Biennial, Perennial",Forb/herb
IPAGA3,Ipomopsis aggregata ssp. aggregata,scarlet gilia,"Biennial, Perennial",Forb/herb
IPAGA2,Ipomopsis aggregata ssp. attenuata,scarlet gilia,"Biennial, Perennial",Forb/herb
IPAGC,Ipomopsis aggregata ssp. candida,scarlet gilia,"Biennial, Perennial",Forb/herb
IPAGC2,Ipomopsis aggregata ssp. collina,scarlet gilia,"Biennial, Perennial",Forb/herb
IPAGF,Ipomopsis aggregata ssp. formosissima,scarlet gilia,"Biennial, Perennial",Forb/herb
IPAGW,Ipomopsis aggregata ssp. weberi,scarlet gilia,"Biennial, Perennial",Forb/herb
IPGL,Ipomopsis globularis,Hoosier Pass ipomopsis,"Biennial, Perennial",Forb/herb
IPRA,Ipomopsis ramosa,coral ipomopsis,"Biennial, Perennial",Forb/herb
ISTI,Isatis tinctoria,Dyer's woad,"Biennial, Perennial",Forb/herb
LAGR,Lactuca graminifolia,grassleaf lettuce,"Biennial, Perennial",Forb/herb
LAGRA,Lactuca graminifolia var. arizonica,grassleaf lettuce,"Biennial, Perennial",Forb/herb
LALU,Lactuca ludoviciana,biannual lettuce,"Biennial, Perennial",Forb/herb
LATA,Lactuca tatarica,blue lettuce,"Biennial, Perennial",Forb/herb
LATAP,Lactuca tatarica var. pulchella,blue lettuce,"Biennial, Perennial",Forb/herb
LEAL4,Lepidium alyssoides,mesa pepperwort,"Biennial, Perennial","Subshrub, Forb/herb"
LEALA3,Lepidium alyssoides var. alyssoides,mesa pepperwort,"Biennial, Perennial","Forb/herb, Subshrub"
LEALE,Lepidium alyssoides var. eastwoodiae,mesa pepperwort,"Biennial, Perennial","Forb/herb, Subshrub"
LEIN5,Lepidium integrifolium,thickleaf pepperweed,"Biennial, Perennial","Subshrub, Forb/herb"
LEMO2,Lepidium montanum,mountain pepperweed,"Biennial, Perennial","Subshrub, Forb/herb"
LEMOC6,Lepidium montanum var. coloradense,mountain pepperweed,"Biennial, Perennial","Forb/herb, Subshrub"
LEMOJ,Lepidium montanum var. jonesii,Jones' pepperweed,"Biennial, Perennial","Subshrub, Forb/herb"
LEMOM,Lepidium montanum var. montanum,mountain pepperweed,"Biennial, Perennial","Subshrub, Forb/herb"
LEMOT,Lepidium montanum var. tenellum,mountain pepperweed,"Biennial, Perennial","Subshrub, Forb/herb"
LEMOW,Lepidium montanum var. wyomingense,mountain pepperweed,"Biennial, Perennial","Forb/herb, Subshrub"
LEAR6,Lesquerella arenosa,Great Plains bladderpod,"Biennial, Perennial",Forb/herb
LEARA,Lesquerella arenosa var. argillosa,Great Plains bladderpod,"Biennial, Perennial",Forb/herb
MABI,Machaeranthera bigelovii,Bigelow's tansyaster,"Biennial, Perennial",Forb/herb
MABIB,Machaeranthera bigelovii var. bigelovii,Bigelow's tansyaster,"Biennial, Perennial",Forb/herb
MEDE2,Mentzelia decapetala,tenpetal blazingstar,"Biennial, Perennial",Forb/herb
MELA2,Mentzelia laevicaulis,smoothstem blazingstar,"Biennial, Perennial",Forb/herb
MELAL3,Mentzelia laevicaulis var. laevicaulis,smoothstem blazingstar,"Biennial, Perennial",Forb/herb
MEMU3,Mentzelia multiflora,Adonis blazingstar,"Biennial, Perennial",Forb/herb
MEMUM2,Mentzelia multiflora var. multiflora,Adonis blazingstar,"Biennial, Perennial",Forb/herb
MENU,Mentzelia nuda,bractless blazingstar,"Biennial, Perennial",Forb/herb
MENUN,Mentzelia nuda var. nuda,bractless blazingstar,"Biennial, Perennial",Forb/herb
MENUS,Mentzelia nuda var. stricta,bractless blazingstar,"Biennial, Perennial",Forb/herb
MEPT,Mentzelia pterosperma,wingseed blazingstar,"Biennial, Perennial",Forb/herb
MERU,Mentzelia rusbyi,Rusby's blazingstar,"Biennial, Perennial",Forb/herb
NEHU2,Neotorularia humilis,low northern-rockcress,"Biennial, Perennial",Forb/herb
OEEL,Oenothera elata,Hooker's evening primrose,"Biennial, Perennial",Forb/herb
OEELH,Oenothera elata ssp. hirsutissima,Hooker's evening primrose,"Biennial, Perennial",Forb/herb
OELO,Oenothera longissima,longstem evening primrose,"Biennial, Perennial",Forb/herb
OEPA,Oenothera pallida,pale evening primrose,"Biennial, Perennial",Forb/herb
OEPAT,Oenothera pallida ssp. trichocalyx,pale evening primrose,"Biennial, Perennial",Forb/herb
OEVI,Oenothera villosa,hairy evening primrose,"Biennial, Perennial",Forb/herb
OEVIS,Oenothera villosa ssp. strigosa,hairy evening primrose,"Biennial, Perennial",Forb/herb
OEVIV,Oenothera villosa ssp. villosa,hairy evening primrose,"Biennial, Perennial",Forb/herb
PAPL12,Packera plattensis,prairie groundsel,"Biennial, Perennial",Forb/herb
PASA2,Pastinaca sativa,wild parsnip,"Biennial, Perennial",Forb/herb
PELO3,Pennellia longifolia,longleaf mock thelypody,"Biennial, Perennial",Forb/herb
PEMI7,Pennellia micrantha,mountain mock thelypody,"Biennial, Perennial",Forb/herb
PHHE2,Phacelia heterophylla,varileaf phacelia,"Biennial, Perennial",Forb/herb
PHHEH,Phacelia heterophylla ssp. heterophylla,varileaf phacelia,"Biennial, Perennial",Forb/herb
PHSE,Phacelia sericea,silky phacelia,"Biennial, Perennial","Subshrub, Forb/herb"
PHSEC,Phacelia sericea ssp. ciliosa,silky phacelia,"Biennial, Perennial","Subshrub, Forb/herb"
PHSES,Phacelia sericea ssp. sericea,silky phacelia,"Biennial, Perennial","Subshrub, Forb/herb"
PSCAT,Pseudognaphalium canescens ssp. thermale,Wright's cudweed,"Biennial, Perennial",Forb/herb
PSTA,Psilostrophe tagetina,woolly paperflower,"Biennial, Perennial","Subshrub, Forb/herb"
RAAB,Ranunculus abortivus,littleleaf buttercup,"Biennial, Perennial",Forb/herb
SASA,Sagina saginoides,arctic pearlwort,"Biennial, Perennial",Forb/herb
SEHY2,Senecio hydrophilus,water ragwort,"Biennial, Perennial","Subshrub, Forb/herb"
SEIN2,Senecio integerrimus,lambstongue ragwort,"Biennial, Perennial",Forb/herb
SEINE,Senecio integerrimus var. exaltatus,Columbia ragwort,"Biennial, Perennial",Forb/herb
SEINI,Senecio integerrimus var. integerrimus,lambstongue ragwort,"Biennial, Perennial",Forb/herb
SICS,Silene csereii,Balkan catchfly,"Biennial, Perennial",Forb/herb
SILA21,Silene latifolia,bladder campion,"Biennial, Perennial",Forb/herb
SILAA3,Silene latifolia ssp. alba,bladder campion,"Biennial, Perennial",Forb/herb
SPCO,Sphaeralcea coccinea,scarlet globemallow,"Biennial, Perennial","Subshrub, Forb/herb"
SPCOC,Sphaeralcea coccinea ssp. coccinea,scarlet globemallow,"Biennial, Perennial","Subshrub, Forb/herb"
SPCOE,Sphaeralcea coccinea ssp. elata,scarlet globemallow,"Biennial, Perennial","Subshrub, Forb/herb"
STAL2,Stanleya albescens,white princesplume,"Biennial, Perennial",Forb/herb
STCO6,Streptanthus cordatus,heartleaf twistflower,"Biennial, Perennial","Subshrub, Forb/herb"
STCOC,Streptanthus cordatus var. cordatus,heartleaf twistflower,"Biennial, Perennial","Subshrub, Forb/herb"
THAU3,Thelypodiopsis aurea,Durango tumblemustard,"Biennial, Perennial",Forb/herb
THLA4,Thelypodium laxiflorum,droopflower thelypody,"Biennial, Perennial",Forb/herb
THPA6,Thelypodium paniculatum,northwestern thelypody,"Biennial, Perennial",Forb/herb
THSA2,Thelypodium sagittatum,arrow thelypody,"Biennial, Perennial",Forb/herb
THSAS,Thelypodium sagittatum ssp. sagittatum,arrow thelypody,"Biennial, Perennial",Forb/herb
THWR,Thelypodium wrightii,Wright's thelypody,"Biennial, Perennial",Forb/herb
THWRO,Thelypodium wrightii ssp. oklahomense,Oklahoma thelypody,"Biennial, Perennial",Forb/herb
TOCO2,Townsendia condensata,cushion Townsend daisy,"Biennial, Perennial",Forb/herb
TOCOC,Townsendia condensata var. condensata,cushion Townsend daisy,"Biennial, Perennial",Forb/herb
TRPR2,Trifolium pratense,red clover,"Biennial, Perennial",Forb/herb
VEPT,Verbascum ×pterocaulon,mullein,"Biennial, Perennial",Forb/herb
VEHA2,Verbena hastata,swamp verbena,"Biennial, Perennial",Forb/herb
VEHAS,Verbena hastata var. scabra,swamp verbena,"Biennial, Perennial",Forb/herb
VEAN2,Veronica anagallis-aquatica,water speedwell,"Biennial, Perennial",Forb/herb
ABCO,Abies concolor,white fir,Perennial,Tree
ABLA,Abies lasiocarpa,subalpine fir,Perennial,Tree
ABLAA,Abies lasiocarpa var. arizonica,corkbark fir,Perennial,Tree
ABLAL,Abies lasiocarpa var. lasiocarpa,subalpine fir,Perennial,Tree
ABAR,Abronia argillosa,clay sand verbena,Perennial,Forb/herb
ABCA,Abronia carletonii,Carleton's sand verbena,Perennial,Forb/herb
ABEL,Abronia elliptica,fragrant white sand verbena,Perennial,Forb/herb
ABFR2,Abronia fragrans,snowball sand verbena,Perennial,Forb/herb
ABNA,Abronia nana,dwarf sand verbena,Perennial,Forb/herb
ABNAN,Abronia nana var. nana,dwarf sand verbena,Perennial,Forb/herb
ABIN,Abutilon incanum,pelotazo,Perennial,"Subshrub, Forb/herb"
ABPA3,Abutilon parvulum,dwarf Indian mallow,Perennial,"Subshrub, Forb/herb"
ACGL,Acer glabrum,Rocky Mountain maple,Perennial,"Tree, Shrub"
ACGLG2,Acer glabrum var. glabrum,Rocky Mountain maple,Perennial,"Tree, Shrub"
ACGLN2,Acer glabrum var. neomexicanum,New Mexico maple,Perennial,"Tree, Shrub"
ACGR3,Acer grandidentatum,bigtooth maple,Perennial,"Tree, Shrub"
ACGRG,Acer grandidentatum var. grandidentatum,bigtooth maple,Perennial,"Tree, Shrub"
ACNE2,Acer negundo,boxelder,Perennial,Tree
ACNEI2,Acer negundo var. interius,boxelder,Perennial,Tree
ACNEN,Acer negundo var. negundo,boxelder,Perennial,Tree
ACNEV,Acer negundo var. violaceum,boxelder,Perennial,Tree
ACMI2,Achillea millefolium,common yarrow,Perennial,Forb/herb
ACMIA,Achillea millefolium var. alpicola,common yarrow,Perennial,Forb/herb
ACMIO,Achillea millefolium var. occidentalis,western yarrow,Perennial,Forb/herb
ACAR14,Achnatherum aridum,Mormon needlegrass,Perennial,Graminoid
ACBL,Achnatherum ×bloomeri,,Perennial,Graminoid
ACCO22,Achnatherum contractum,contracted ricegrass,Perennial,Graminoid
ACHY,Achnatherum hymenoides,Indian ricegrass,Perennial,Graminoid
ACLE9,Achnatherum lettermanii,Letterman's needlegrass,Perennial,Graminoid
ACNE9,Achnatherum nelsonii,Columbia needlegrass,Perennial,Graminoid
ACNED,Achnatherum nelsonii ssp. dorei,Dore's needlegrass,Perennial,Graminoid
ACNEN2,Achnatherum nelsonii ssp. nelsonii,Columbia needlegrass,Perennial,Graminoid
ACNE10,Achnatherum nevadense,Nevada needlegrass,Perennial,Graminoid
ACOC3,Achnatherum occidentale,western needlegrass,Perennial,Graminoid
ACOCP,Achnatherum occidentale ssp. pubescens,pubescent western needlegrass,Perennial,Graminoid
ACPI2,Achnatherum pinetorum,pine needlegrass,Perennial,Graminoid
ACRI8,Achnatherum richardsonii,Richardson's needlegrass,Perennial,Graminoid
ACRO7,Achnatherum robustum,sleepygrass,Perennial,Graminoid
ACSC11,Achnatherum scribneri,Scribner needlegrass,Perennial,Graminoid
ACSP12,Achnatherum speciosum,desert needlegrass,Perennial,Graminoid
ACTH7,Achnatherum thurberianum,Thurber's needlegrass,Perennial,Graminoid
ACWE3,Achnatherum webberi,Webber needlegrass,Perennial,Graminoid
ACCO4,Aconitum columbianum,Columbian monkshood,Perennial,Forb/herb
ACCOC3,Aconitum columbianum ssp. columbianum,Columbian monkshood,Perennial,Forb/herb
ACCA4,Acorus calamus,calamus,Perennial,Forb/herb
ACRE3,Acroptilon repens,hardheads,Perennial,Forb/herb
ACRU2,Actaea rubra,red baneberry,Perennial,Forb/herb
ACRUA8,Actaea rubra ssp. arguta,red baneberry,Perennial,Forb/herb
ADAL,Adiantum aleuticum,Aleutian maidenhair,Perennial,Forb/herb
ADCA,Adiantum capillus-veneris,common maidenhair,Perennial,Forb/herb
ADMO,Adoxa moschatellina,muskroot,Perennial,Forb/herb
AGFO,Agastache foeniculum,blue giant hyssop,Perennial,"Subshrub, Forb/herb"
AGPA,Agastache pallidiflora,Bill Williams Mountain giant hyssop,Perennial,"Subshrub, Forb/herb"
AGPAP2,Agastache pallidiflora ssp. pallidiflora,Bill Williams Mountain giant hyssop,Perennial,"Subshrub, Forb/herb"
AGPAG4,Agastache pallidiflora ssp. pallidiflora var. greenei,Bill Williams Mountain giant hyssop,Perennial,"Subshrub, Forb/herb"
AGUR,Agastache urticifolia,nettleleaf giant hyssop,Perennial,"Subshrub, Forb/herb"
AGURU,Agastache urticifolia var. urticifolia,nettleleaf giant hyssop,Perennial,"Subshrub, Forb/herb"
AGHE5,Ageratina herbacea,fragrant snakeroot,Perennial,"Subshrub, Forb/herb"
AGAU2,Agoseris aurantiaca,orange agoseris,Perennial,"Subshrub, Forb/herb"
AGAUA,Agoseris aurantiaca var. aurantiaca,orange agoseris,Perennial,"Subshrub, Forb/herb"
AGAUP,Agoseris aurantiaca var. purpurea,orange agoseris,Perennial,"Subshrub, Forb/herb"
AGGL,Agoseris glauca,pale agoseris,Perennial,"Forb/herb, Shrub, Subshrub"
AGGLA,Agoseris glauca var. agrestis,pale agoseris,Perennial,Forb/herb
AGGLD,Agoseris glauca var. dasycephala,pale agoseris,Perennial,Forb/herb
AGGLG,Agoseris glauca var. glauca,pale agoseris,Perennial,Forb/herb
AGGLL,Agoseris glauca var. laciniata,false agoseris,Perennial,"Forb/herb, Shrub, Subshrub"
AGMO2,Agoseris ×montana,agoseris,Perennial,Forb/herb
AGST,Agrimonia striata,roadside agrimony,Perennial,Forb/herb
AGCR,Agropyron cristatum,crested wheatgrass,Perennial,Graminoid
AGCRC,Agropyron cristatum ssp. cristatum,crested wheatgrass,Perennial,Graminoid
AGCRP8,Agropyron cristatum ssp. pectinatum,crested wheatgrass,Perennial,Graminoid
AGDE2,Agropyron desertorum,desert wheatgrass,Perennial,Graminoid
AGFR,Agropyron fragile,Siberian wheatgrass,Perennial,Graminoid
AGEX,Agrostis exarata,spike bentgrass,Perennial,Graminoid
AGGI2,Agrostis gigantea,redtop,Perennial,Graminoid
AGHU,Agrostis humilis,alpine bentgrass,Perennial,Graminoid
AGID,Agrostis idahoensis,Idaho bentgrass,Perennial,Graminoid
AGME3,Agrostis mertensii,northern bentgrass,Perennial,Graminoid
AGSC5,Agrostis scabra,rough bentgrass,Perennial,Graminoid
AGST2,Agrostis stolonifera,creeping bentgrass,Perennial,Graminoid
AGVA,Agrostis variabilis,mountain bentgrass,Perennial,Graminoid
AIAL,Ailanthus altissima,tree of heaven,Perennial,Tree
ALAC2,Aletes acaulis,stemless Indian parsley,Perennial,Forb/herb
ALAN3,Aletes anisatus,Rocky Mountain Indian parsley,Perennial,Forb/herb
ALHU,Aletes humilis,Colorado aletes,Perennial,Forb/herb
ALMA3,Aletes macdougalii,MacDougal's Indian parsley,Perennial,Forb/herb
ALMAB,Aletes macdougalii ssp. breviradiatus,MacDougal's Indian parsley,Perennial,Forb/herb
ALSE5,Aletes sessiliflorus,sessileflower Indian parsley,Perennial,Forb/herb
ALMA12,Alhagi maurorum,camelthorn,Perennial,Shrub
ALST12,Aliciella stenothyrsa,Uinta Basin gilia,Perennial,Forb/herb
ALGR,Alisma gramineum,narrowleaf water plantain,Perennial,Forb/herb
ALSU,Alisma subcordatum,American water plantain,Perennial,Forb/herb
ALTR7,Alisma triviale,northern water plantain,Perennial,Forb/herb
ALINI,Allionia incarnata var. incarnata,trailing windmills,Perennial,Forb/herb
